month,orders,revenue
2016-09,2,279.69
2016-10,290,51354.52
2016-12,1,19.62
2017-01,787,136943.46
2017-02,1718,283561.69
2017-03,2617,425617.96
2017-04,2377,405848.61
2017-05,3640,582710.83
2017-06,3205,499652.24
2017-07,3946,578753.73
2017-08,4272,661903.52
2017-09,4227,717102.72
2017-10,4547,764756.03
2017-11,7421,1172191.68
2017-12,5618,861526.77
2018-01,7187,1101920.01
2018-02,6624,979486.16
2018-03,7168,1152656.99
2018-04,6919,1156248.89
2018-05,6833,1145686.46
2018-06,6145,1020381.9
2018-07,6233,1039783.58
2018-08,6421,996973.51
2018-09,1,166.46
